veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,split
6.43,0.241897754,0,0,0,STNWG,1,M,A,3,T
4.46,0.856522757,0,0,0,STNWG,1,M,A,3,T
1.7,0.417516596,0,0,0,HBACK,1,M,A,4,T
0.48,0.626974524,0,0,0,SEDAN,4,F,A,6,T
1.96,0.089770031,0,0,0,HBACK,1,F,A,2,T
1.78,0.25654335,0,0,0,HBACK,2,M,A,3,T
2.7,0.688128611,0,0,0,UTE,2,M,A,1,T
0.94,0.912765859,0,0,0,STNWG,4,M,A,2,T
1.98,0.157753423,0,0,0,SEDAN,2,M,A,4,T
1.04,0.044920865,0,0,0,SEDAN,3,F,A,2,T
1.1,0.351634665,0,0,0,SEDAN,4,M,A,4,T
4.04,0.858067296,0,0,0,STNWG,2,M,A,4,T
1.38,0.654490078,0,0,0,STNWG,4,M,A,4,T
1.24,0.731126357,0,0,0,SEDAN,3,F,A,2,T
1.47,0.472666497,0,0,0,HBACK,1,M,A,1,T
1.35,0.630303137,0,0,0,SEDAN,3,F,A,4,T
1.59,0.686495538,0,0,0,SEDAN,3,M,A,3,T
1.92,0.916322649,0,0,0,SEDAN,2,F,A,5,T
3.63,0.635119178,0,0,0,STNWG,2,M,A,5,T
1.84,0.532929586,0,0,0,HBACK,2,F,A,3,T
3.77,0.202138282,0,0,0,STNWG,2,F,A,3,T
0.44,0.610263216,0,0,0,UTE,4,F,A,3,T
0.44,0.917491085,0,0,0,SEDAN,4,F,A,6,T
1.23,0.627490963,0,0,0,SEDAN,3,F,A,6,T
1.89,0.608144096,0,0,0,SEDAN,3,F,A,6,T
0.61,0.680916346,0,0,0,SEDAN,4,F,A,4,T
1.51,0.170432893,0,0,0,SEDAN,3,F,A,5,T
1.26,0.919359694,0,0,0,HBACK,3,F,A,5,T
4.91,0.659085101,0,0,0,TRUCK,1,F,A,4,T
2.31,0.26702117,0,0,0,STNWG,2,F,A,3,T
1.17,0.373406076,0,0,0,SEDAN,3,M,A,3,T
1.81,0.157805121,0,0,0,STNWG,4,M,A,2,T
1.25,0.917398657,0,0,0,SEDAN,3,F,A,6,T
1,0.342001507,0,0,0,HDTOP,4,M,A,4,T
1.46,0.908747989,0,0,0,STNWG,3,M,A,2,T
0.45,0.331974782,0,0,0,HBACK,4,F,A,3,T
0.76,0.858882411,0,0,0,HBACK,3,F,A,3,T
9.33,0.380635327,0,0,0,SEDAN,2,M,A,6,T
1.76,0.770876684,0,0,0,HBACK,2,M,A,4,T
3.32,0.034059806,0,0,0,HBACK,2,M,A,4,T
2.11,0.597717724,0,0,0,HDTOP,3,M,A,4,T
1.47,0.53188025,0,0,0,HBACK,1,F,A,2,T
0.9,0.991369421,0,0,0,HBACK,3,M,A,2,T
1.77,0.904718424,0,0,0,SEDAN,2,F,A,1,T
1.05,0.596981834,0,0,0,SEDAN,3,F,A,3,T
1.24,0.464050064,0,0,0,COUPE,4,M,A,2,T
2.38,0.605724365,0,0,0,HDTOP,2,F,A,5,T
2.6,0.917885848,0,0,0,STNWG,1,M,A,1,T
1.63,0.623050201,0,0,0,SEDAN,3,F,A,5,T
1.4,0.358146725,0,0,0,SEDAN,3,F,A,3,T
1.28,0.535546254,0,0,0,SEDAN,3,M,A,2,T
1.32,0.91937073,0,0,0,HBACK,2,M,A,2,T
0.6,0.097510087,0,0,0,SEDAN,4,F,A,3,T
6.41,0.2979211,0,0,0,SEDAN,3,M,A,5,T
1.47,0.167734387,0,0,0,UTE,3,F,A,3,T
5.17,0.605822199,0,0,0,STNWG,1,F,A,5,T
0.89,0.572977815,0,0,0,HBACK,4,M,A,3,T
1.94,0.657477374,0,0,0,SEDAN,3,F,A,2,T
4.67,0.91732282,0,0,0,STNWG,2,M,A,1,T
1.62,0.911814566,0,0,0,HBACK,1,M,A,2,T
1.34,0.620808848,0,0,0,SEDAN,3,M,A,4,T
0.91,0.915750692,0,0,0,SEDAN,3,F,A,2,T
0.81,0.49885795,0,0,0,HBACK,3,F,A,2,T
0.53,0.106128419,0,0,0,HBACK,4,M,A,3,T
1.37,0.919146608,0,0,0,STNWG,4,F,A,2,T
3.31,0.81624572,0,0,0,UTE,2,M,A,1,T
1.43,0.47791175,0,0,0,SEDAN,3,F,A,3,T
1.45,0.329116742,0,0,0,SEDAN,2,F,A,1,T
1.99,0.665994228,0,0,0,HDTOP,3,F,A,4,T
1.1,0.917298955,0,0,0,SEDAN,4,F,A,4,T
4.24,0.916914906,0,0,0,SEDAN,4,F,A,4,T
3.19,0.652718464,0,0,0,HBACK,2,M,A,5,T
2.27,0.092324162,0,0,0,SEDAN,2,M,A,2,T
0.76,0.548004075,0,0,0,STNWG,4,F,A,5,T
4.04,0.067972612,0,0,0,STNWG,1,F,A,5,T
0.73,0.377064456,0,0,0,HBACK,4,F,A,3,T
0.72,0.625174631,0,0,0,SEDAN,4,M,A,6,T
1.78,0.105546685,0,0,0,SEDAN,3,F,A,2,T
1.29,0.056205757,0,0,0,SEDAN,2,F,A,2,T
1.28,0.77650232,0,0,0,SEDAN,3,M,A,1,T
1.99,0.249154019,0,0,0,SEDAN,1,F,A,6,T
1.95,0.32591717,0,0,0,SEDAN,2,F,A,5,T
1.13,0.284061938,0,0,0,SEDAN,3,M,A,3,T
1.59,0.254821281,0,0,0,HBACK,1,F,A,3,T
0.87,0.542300138,0,0,0,HBACK,3,M,A,4,T
1.16,0.254854392,0,0,0,HBACK,2,F,A,5,T
0.95,0.420663999,0,0,0,HBACK,3,F,A,3,T
1.21,0.047018651,0,0,0,SEDAN,3,M,A,2,T
1.47,0.412479983,0,0,0,STNWG,4,M,A,4,T
1.08,0.663622134,0,0,0,SEDAN,3,M,A,4,T
1.39,0.161190419,0,0,0,HBACK,1,F,A,6,T
2.39,0.628348127,0,0,0,HDTOP,2,F,A,3,T
3.26,0.918144661,0,0,0,STNWG,3,M,A,5,T
0.2,0.63157547,0,0,0,HBACK,4,F,A,5,T
1.11,0.106346782,0,0,0,STNWG,3,M,A,3,T
0.94,0.156593001,0,0,0,COUPE,4,F,A,2,T
2.13,0.255971259,0,0,0,SEDAN,1,F,A,4,T
0.66,0.357339735,0,0,0,HBACK,4,F,A,1,T
1.24,0.162221579,0,0,0,SEDAN,3,M,A,4,T
1.81,0.629334689,0,0,0,UTE,3,M,A,5,T
1.16,0.157744787,0,0,0,SEDAN,3,F,A,6,T
2.19,0.535509682,0,0,0,SEDAN,2,F,A,3,T
3.23,0.285425603,0,0,0,STNWG,2,F,A,3,T
0.74,0.916030023,0,0,0,HBACK,4,M,A,3,T
1.65,0.65684277,0,0,0,HBACK,2,F,A,6,T
0.44,0.916285608,0,0,0,SEDAN,4,M,A,5,T
3.72,0.999323459,0,0,0,STNWG,3,M,A,5,T
0.45,0.167298005,0,0,0,HBACK,4,M,A,6,T
0.89,0.606302186,0,0,0,STNWG,4,M,A,2,T
2.14,0.597320389,0,0,0,HBACK,2,F,A,3,T
7.89,0.366302945,0,0,0,STNWG,1,M,A,3,T
1.7,0.8389796,0,0,0,SEDAN,3,F,A,4,T
0.45,0.91679812,0,0,0,SEDAN,4,F,A,3,T
2.16,0.059430855,0,0,0,STNWG,3,F,A,4,T
1.68,0.661395764,0,0,0,HBACK,1,F,A,5,T
2.78,0.664589107,0,0,0,PANVN,1,M,A,3,T
1.49,0.99387737,0,0,0,STNWG,4,F,A,3,T
3.5,0.281388339,0,0,0,HBACK,2,F,A,1,T
1.19,0.69702554,0,0,0,HBACK,3,F,A,6,T
0.32,0.220056618,0,0,0,HBACK,4,F,A,2,T
1.49,0.182921198,0,0,0,HBACK,2,F,A,6,T
0.43,0.624161784,0,0,0,COUPE,4,F,A,3,T
0.77,0.700671134,0,0,0,SEDAN,4,F,A,2,T
8.28,0.548729378,0,0,0,STNWG,1,F,A,3,T
1.35,0.919457686,0,0,0,HBACK,1,F,A,3,T
1.46,0.193929347,0,0,0,TRUCK,3,M,A,2,T
1.27,0.627696789,0,0,0,SEDAN,3,F,A,2,T
1.58,0.403633149,0,0,0,SEDAN,2,F,A,1,T
4.58,0.277890631,0,0,0,UTE,1,M,A,1,T
5.84,0.576436949,0,0,0,STNWG,1,F,A,3,T
0.66,0.173479035,0,0,0,SEDAN,4,M,A,4,T
